CODPROD;REFERENCIA;DESCRPROD;CODTAB;PRECO_UNITARIO;QUANTIDADE;PRECO_CX
2;7897518200014;TEMPERO COMPLETO ESPECIAL 500G SADIO;16;3.61;12,00000;43.32
4;7897518200045;TEMPERO SEM PIMENTA 500G SADIO;16;3.61;12,00000;43.32
6;7897518200656;TEMPERO CASEIRO TRADICIONAL ESCURO VERDE 500G SADIO;16;3.16;12,00000;37.92
8;7897518200052;VINAGRE DE ALCOOL 500ML SADIO;16;1.48;12,00000;17.76
10;7897518200090;MOLHO DE ALHO 500ML SADIO;16;4.8;12,00000;57.6
12;7897518225130;MOLHO DE ALHO 150ML SADIO;16;1.79;12,00000;21.48
14;7897518200038;MOLHO INGLES 150ML SADIO;16;1.79;12,00000;21.48
16;7897518225123;MOLHO DE PIMENTA 150ML SADIO;16;1.79;12,00000;21.48
18;7897518200076;TEMPERO COMPLETO 500G LETO;16;3.16;12,00000;37.92
26;7899518200148;MOLHO DE PIMENTA EXTRA FORTE 60ML PINGO;16;3.82;12,00000;45.84
29;7897518225086;PURO ALHO 200G SADIO;16;4.3;12,00000;51.6
30;7897518225093;PURO ALHO 440G SADIO;16;7.77;12,00000;93.24
31;7897518225109;PURO ALHO 1KG SADIO;16;17.92;6,00000;107.52
36;7899518200100;TEMPERO COMPLETO 500G REDE MAIS;16;0;12,00000;0
39;7899518200209;TEMPERO COMPLETO 500G SUPERCOP;16;0;12,00000;0
40;7897518225215;TEMPERO COMPLETO 500G BOM DA REDE;16;0;12,00000;0
54;7897518200083;MOLHO SHOYU 150ML SADIO;16;1.79;12,00000;21.48
66;7897518200113;VINAGRE DE ALCOOL 500ML BOM DA REDE;16;0;12,00000;0
67;7897518200120;MOLHO DE ALHO 500ML BOM DA REDE;16;0;12,00000;0
76;7897518200755;EXTRATO DE ALHO 500ML SADIO;16;4.8;12,00000;57.6
80;7897518200342;MOLHO INGLES 500ML SADIO;16;4.8;12,00000;57.6
81;7897518200335;MOLHO DE PIMENTA 500ML SADIO;16;4.8;12,00000;57.6
82;7897518200359;MOLHO SHOYU 500ML SADIO;16;4.8;12,00000;57.6
213;7897518200809;TEMPERO PARA CARNES 500G SADIO;16;3.77;12,00000;45.24
319;7897518207259;MOLHO DE ALHO 150ML MESTRE CUCA;16;1.63;12,00000;19.56
320;7897518201110;MOLHO DE ALHO 500ML MESTRE CUCA;16;4.34;12,00000;52.08
321;7897518201080;MOLHO DE PIMENTA AO LEITE 150ML MESTRE CUCA;16;2.16;12,00000;25.92
322;7897518207266;MOLHO DE PIMENTA 150ML MESTRE CUCA;16;1.63;12,00000;19.56
391;7897518201356;PURO ALHO 2KG SADIO;16;31.1;6,00000;186.6
450;7897518201530;TEMPERO PARA FRANGO 500G SADIO;16;3.77;12,00000;45.24
460;7897518207235;MOLHO INGLES 150ML MESTRE CUCA;16;1.63;12,00000;19.56
461;7897518201097;MOLHO INGLES 500ML MESTRE CUCA;16;4.34;12,00000;52.08
462;7897518207242;MOLHO SHOYU 150ML MESTRE CUCA;16;1.63;12,00000;19.56
463;7897518201103;MOLHO SHOYU 500ML MESTRE CUCA;16;4.34;12,00000;52.08
464;7897518207198;VINAGRE DE ALCOOL ALHO 500ML MESTRE CUCA;16;1.83;12,00000;21.96
465;7897518207211;VINAGRE DE ALCOOL LIMAO 500ML MESTRE CUCA;16;1.83;12,00000;21.96
467;7897518207204;VINAGRE DE ALCOOL MACA 500ML MESTRE CUCA;16;1.83;12,00000;21.96
926;7897518225222;MOLHO DE PIMENTA AMARELA 150ML SADIO;16;1.79;12,00000;21.48
1103;7897518220050;TEMPERO COMPLETO 500G FRINEX;16;0;12,00000;0
1104;7897518220043;VINAGRE DE ALCOOL 500ML FRINEX;16;0;12,00000;0
1105;7897518220067;TEMPERO PARA FRANGO 500G FRINEX;16;0;12,00000;0
1106;7897518220098;MOLHO INGLES 150ML FRINEX;16;0;12,00000;0
1107;7897518220074;MOLHO DE PIMENTA 150ML FRINEX;16;0;12,00000;0
1365;7897518225260;CATCHUP TRADICIONAL 200G SADIO;16;2.49;12,00000;29.88
1372;7897518225253;MOSTARDA AMARELA 190G SADIO;16;3.93;12,00000;47.16
1383;7897518225239;CATCHUP TRADICIONAL 380G SADIO;16;3.88;12,00000;46.56
1452;7897518225246;BARBECUE TRADICIONAL 380G SADIO;16;5.29;12,00000;63.48
1480;7897518225284;CATCHUP PREMIUM 380G MR MAKER;16;6.62;12,00000;79.44
1526;1526;PURO ALHO SEM GLUTEN 2KG SADIO;16;0;6,00000;0
1531;7897518220364;MOLHO DE PIMENTA EXTRA FORTE 150ML PINGO;16;1.79;12,00000;21.48
1571;7897518220081;MOLHO DE ALHO 150ML FRINEX;16;0;12,00000;0
2046;7897518225307;CREME DE ALHO SABOR QUEIJO 360G SADIO;16;5.29;12,00000;63.48
2266;7897518220791;VINAGRE DE ALCOOL 5L SADIO;16;15.92;2,00000;31.84
2875;7897518224959;PURO ALHO 200G FRINEX;16;0;12,00000;0
2876;7897518224966;PASTA DE ALHO 1KG FRINEX;16;0;6,00000;0
2923;7897518225000;TEMPERO COMPLETO 500G SUPER SHOW;16;0;12,00000;0
2944;7897518221019;PASTA PARA PAO DE ALHO 180G SADIO;16;0;12,00000;0
2946;7897518221002;PASTA PARA PÇO DE ALHO 380G SADIO;16;0;12,00000;0
3172;7897518224799;VINAGRE DE ALCOOL 500ML LETO;16;1.4;12,00000;16.8
3174;7897518206764;MOLHO DE ALHO 500ML LETO;16;0;12,00000;0
3175;7897518224737;MOLHO INGLES 150ML LETO;16;1.73;12,00000;20.76
3176;7897518224744;MOLHO DE PIMENTA 150ML LETO;16;1.73;12,00000;20.76
3177;7897518224768;MOLHO SHOYU 150ML LETO;16;1.73;12,00000;20.76
3178;7897518224751;MOLHO DE ALHO 150ML LETO;16;1.73;12,00000;20.76
3179;7897518224812;PASTA DE ALHO 200G LETO;16;3.69;12,00000;44.28
3333;7897518221446;PAPRICA PICANTE PC 50G SADIO;16;3.42;24,00000;82.08
3335;7897518221491;COMINHO MOIDO PC 40G SADIO;16;2.93;24,00000;70.32
3337;7897518221415;LOURO PC 4G SADIO;16;1.58;24,00000;37.92
3338;7897518221477;CANELA EM CASCA PC 10G SADIO;16;2.2;24,00000;52.8
3339;7897518221507;CRAVO PC 10G SADIO;16;2.93;24,00000;70.32
3340;7897518221453;BICARBONATO DE SODIO PC 30G SADIO;16;1.58;24,00000;37.92
3343;7897518221392;ALECRIM PC 7G SADIO;16;1.58;24,00000;37.92
3345;7897518221514;CURRY PC 30G SADIO;16;2.2;24,00000;52.8
3346;7897518221408;ERVAS FINAS PC 12G SADIO;16;2.2;24,00000;52.8
3347;7897518221460;SALSA PC 10G SADIO;16;1.58;24,00000;37.92
3348;7897518221545;PIMENTA PRETA GRAO PC 15G SADIO;16;2.2;24,00000;52.8
3349;7897518221538;PIMENTA PRETA MOIDA PC 40G SADIO;16;6.81;24,00000;163.44
3350;7897518221439;OREGANO PC 12G SADIO;16;1.58;24,00000;37.92
3351;7897518221422;MANJERICAO PC 8G SADIO;16;1.58;24,00000;37.92
3356;7897518221576;CANELA PO POTE 35G SADIO;16;5.46;24,00000;131.04
3359;7897518221651;OREGANO FR 15G SADIO;16;6.16;6,00000;36.96
3361;7897518221613;ALHO GRANULADO FR 70G SADIO;16;8.5;6,00000;51
3362;7897518221590;PIMENTA PRETA MOIDA FR 75G SADIO;16;8.5;6,00000;51
3363;7897518221668;CURRY FR 68G SADIO;16;5.72;6,00000;34.32
3366;7897518221583;PAPRICA PICANTE FR 54G SADIO;16;8.5;6,00000;51
3924;7897518221705;MOLHO SHOYU 5L SADIO;16;34.11;2,00000;68.22
4171;7897518223457;PASTA DE ALHO 200G SUPER SHOW;16;0;12,00000;0
5058;7897518223532;PASTA DE ALHO 2KG LETO;16;29.65;6,00000;177.9
5063;7897518223525;PASTA DE ALHO 1KG LETO;16;17.06;6,00000;102.36
5064;7897518223495;TEMPERO SEM PIMENTA 500G LETO;16;0;12,00000;0
5079;7897518223518;TEMPERO PARA CARNES 500G LETO;16;0;12,00000;0
5080;7897518223501;TEMPERO PARA FRANGO 500G LETO;16;0;12,00000;0
5268;7897518206542;TEMPERO COMPLETO 500G FAVORITO;16;0;12,00000;0
6370;7897518224706;MOLHO SHOYU 150ML FRINEX;16;0;12,00000;0
6893;7897518206627;VINAGRE DE ALCOOL 5L LETO;16;0;2,00000;0
6894;7897518206634;MOLHO SHOYU 5L LETO;16;0;2,00000;0
7278;7897518206603;PASTA DE ALHO 440G LETO;16;7.41;12,00000;88.92
7279;7897518206610;TEMPERO CASEIRO TRADICIONAL ESCURO 500G LETO;16;0;12,00000;0
7281;7897518206658;VINAGRE DE ALCOOL LIMAO 500ML SADIO;16;2.07;12,00000;24.84
7282;7897518206641;VINAGRE DE ALCOOL MACA 500ML SADIO;16;2.07;12,00000;24.84
7283;7897518206665;VINAGRE DE ALCOOL ALHO 500ML SADIO;16;2.07;12,00000;24.84
7284;7897518206702;CONDIMENTOS COM VINAGRE 500ML SADIO;16;0;12,00000;0
7303;7897518221842;OREGANO PC 200G SADIO;16;17.97;6,00000;107.82
7310;7897518223464;VINAGRE DE ALCOOL COLORIDO 500ML SADIO;16;1.48;12,00000;17.76
7399;7897518206894;TEMPERO SEM PIMENTA 500G FRINEX;16;0;12,00000;0
7401;7897518206900;TEMPERO PARA CARNES 500G FRINEX;16;0;12,00000;0
7402;7897518206917;EXTRATO DE ALHO 500ML FRINEX;16;0;12,00000;0
7414;7897518224782;EXTRATO DE ALHO 500ML LETO;16;4.6;12,00000;55.2
7486;7897518206955;SAL MARINHO REFIL 90G MR MAKER;16;5.36;12,00000;64.32
7487;7897518206948;SAL DO HIMALAIA REFIL 90G MR MAKER;16;5.36;12,00000;64.32
7488;7897518206962;PIMENTA PRETA REFIL 40G MR MAKER;16;6.7;12,00000;80.4
7489;7897518206979;MIX DE PIMENTAS REFIL 40G MR MAKER;16;6.7;12,00000;80.4
7490;7897518206986;PIMENTA CALABRESA COM SAL ROSA REFIL 40G MR MAKER;16;6.7;12,00000;80.4
7493;7897518207013;ERVAS FINAS COM SAL ROSA REFIL 65G MR MAKER;16;5.36;12,00000;64.32
7526;7897518207020;ADOCANTE LIQUIDO SACARINA 100ML SADIO;16;2.66;12,00000;31.92
7528;7897518207037;ADOCANTE LIQUIDO SUCRALOSE 100ML SADIO;16;5.13;12,00000;61.56
7529;7897518207044;ADOCANTE LIQUIDO STEVIA 100ML SADIO;16;5.45;12,00000;65.4
7534;7897518223471;MOLHO DE PIMENTA AO LEITE 150ML SADIO;16;2.4;12,00000;28.8
7535;7897518206771;SAL DO HIMALAIA MOEDOR 110G MR MAKER;16;16.21;6,00000;97.26
7536;7897518206818;SAL MARINHO MOEDOR 110G MR MAKER;16;16.21;6,00000;97.26
7537;7897518206801;MIX DE PIMENTAS MOEDOR 50G MR MAKER;16;18.81;6,00000;112.86
7541;7897518206788;PIMENTA PRETA MOEDOR 50G MR MAKER;16;18.81;6,00000;112.86
7542;7897518206993;PIMENTA CALABRESA COM SAL ROSA MOEDOR 50G MR MAKER;16;18.81;6,00000;112.86
7543;7897518207006;ERVAS FINAS COM SAL ROSA MOEDOR 80G MR MAKER;16;16.21;6,00000;97.26
7568;7897518200021;TEMPERO CASEIRO COMPLETO CLARO AZUL 500G SADIO;16;3.16;12,00000;37.92
7587;7897518206931;MIX PARA FRANGO 2KG SADIO;16;48.62;6,00000;291.72
7644;7897518207075;TEMPERO COMPLETO 500G ALEX;16;0;12,00000;0
7704;7897518202568;VINAGRE DE ALCOOL MACA 500ML FRINEX;16;0;12,00000;0
7705;7897518202575;VINAGRE DE ALCOOL ALHO 500ML FRINEX;16;0;12,00000;0
7706;7897518202551;VINAGRE DE ALCOOL LIMAO 500ML FRINEX;16;0;12,00000;0
7845;7897518202544;CANELA PO POTE 30G LETO;16;3.37;12,00000;40.44
7865;7897518206672;VINAGRE DE ALCOOL MACA 500ML LETO;16;1.93;12,00000;23.16
7866;7897518221033;VINAGRE DE ALCOOL LIMAO 500ML LETO;16;0;12,00000;0
7875;7897518202704;MOLHO DE PIMENTA AO LEITE 150ML FRINEX;16;0;12,00000;0
7892;7897518221026;VINAGRE DE ALCOOL ALHO 500ML LETO;16;0;12,00000;0
7989;7897518202766;ACAFRAO/CURCUMA MOIDO FR 53G SADIO;16;5.72;6,00000;34.32
8059;7897518202667;TEMPERO PARA FRANGO MOEDOR 70G MR MAKER;16;18.81;6,00000;112.86
8060;7897518202674;TEMPERO PARA CARNES MOEDOR 70G MR MAKER;16;18.81;6,00000;112.86
8061;7897518202681;TEMPERO PARA PEIXE MOEDOR 60G MR MAKER;16;18.81;6,00000;112.86
8139;7897518202827;VINAGRE DE ALCOOL 750ML SADIO;16;2.4;12,00000;28.8
8140;7897518202858;TEMPERO COMPLETO ESPECIAL 750G SADIO;16;0;12,00000;0
8141;7897518202872;MOLHO DE ALHO 750ML SADIO;16;6.79;12,00000;81.48
8142;7897518202865;MOLHO DE PIMENTA VERMELHA 750ML SADIO;16;6.8;12,00000;81.6
8144;7897518202834;MOLHO INGLES 750ML SADIO;16;6.8;12,00000;81.6
8145;7897518202841;MOLHO SHOYU 750ML SADIO;16;6.8;12,00000;81.6
8146;7897518207358;CATCHUP TRADICIONAL 830G SADIO;16;6.59;12,00000;79.08
8147;7897518207365;BARBECUE TRADICIONAL 830G SADIO;16;8.08;12,00000;96.96
8148;7897518202636;MOLHO DE TOMATE TRADICIONAL 300G SADIO;16;1.53;24,00000;36.72
8149;7897518202643;MOLHO DE TOMATE PIZZA 300G SADIO;16;1.53;24,00000;36.72
8151;7897518202650;MOLHO DE TOMATE MANJERICAO 300G SADIO;16;1.53;24,00000;36.72
8221;7897518203565;MOLHO SHOYU 500ML LETO;16;4.6;12,00000;55.2
8222;7897518203541;MOLHO INGLES 500ML LETO;16;4.6;12,00000;55.2
8223;7897518203558;MOLHO DE PIMENTA 500ML LETO;16;0;12,00000;0
8270;7897518203336;VINAGRE DE ALCOOL COLORIDO 500ML LETO;16;1.4;12,00000;16.8
8271;7897518203312;CATCHUP TRADICIONAL 3,4KG SADIO;16;24.65;4,00000;98.6
8272;7897518203329;BARBECUE TRADICIONAL 3,4KG SADIO;16;27.04;4,00000;108.16
8278;7897518203343;TEMPERO CASEIRO CONDIMENTADO CLARO VERM 500G SADIO;16;3.16;12,00000;37.92
8456;7897518202698;MOLHO DE TOMATE BOLONHESA 300G SADIO;16;2.06;24,00000;49.44
8637;7898973022098;VINAGRE DE ALCOOL 500ML DATERRA;16;0;12,00000;0
8638;;AZEITONA VERDE COM CARO€O 80G SADIO;16;2.61;12,00000;31.32
8639;;AZEITONA VERDE FATIADA 100G SADIO;16;4.86;12,00000;58.32
8640;7898973022074;TEMPERO COMPLETO 500G DATERRA;16;0;12,00000;0
8641;;AZEITONA VERDE SEM CARO€O 100G SADIO;16;4.86;12,00000;58.32
8642;;AZEITONA VERDE COM CARO€O 120G SADIO;16;3.84;12,00000;46.08
8643;;AZEITONA VERDE FATIADA 1,01KG SADIO;16;35.08;12,00000;420.96
8644;;AZEITONA VERDE SEM CARO€O 1,01KG SADIO;16;35.43;12,00000;425.16
8645;;AZEITONA VERDE COM CARO€O 1,01KG SADIO;16;34.13;12,00000;409.56
8646;7898136380416;CANELA PO POTE 35G DATERRA;16;0;24,00000;0
8647;;AZEITONA VERDE FATIADA 1,6KG SADIO;16;38.97;12,00000;467.64
8649;;AZEITONA VERDE SEM CARO€O 1,6KG SADIO;16;39.17;12,00000;470.04
8650;;AZEITONA VERDE COM CARO€O 1,8KG SADIO;16;39.41;12,00000;472.92
8707;7897518221156;VINAGRE DE ALCOOL COLORIDO 500ML DUBOM;16;0;12,00000;0
8708;7897518221163;VINAGRE DE ALCOOL 500ML DUBOM;16;0;12,00000;0
8710;7897518221170;VINAGRE DE ALCOOL MACA 500ML DUBOM;16;0;12,00000;0
8711;7897518221187;VINAGRE DE ALCOOL LIMAO 500ML DUBOM;16;0;12,00000;0
8712;7897518221194;VINAGRE DE ALCOOL ALHO 500ML DUBOM;16;0;12,00000;0
8714;7897518221217;MOLHO DE PIMENTA EXTRA FORTE 150ML DUBOM;16;0;12,00000;0
8715;7897518221224;MOLHO DE PIMENTA 150ML DUBOM;16;0;12,00000;0
8717;7897518221231;MOLHO DE PIMENTA AO LEITE 150ML DUBOM;16;0;12,00000;0
8718;7897518221248;MOLHO SHOYU 150ML DUBOM;16;0;12,00000;0
8719;7897518221255;MOLHO INGLES 150ML DUBOM;16;0;12,00000;0
8720;7897518221262;MOLHO DE ALHO 150ML DUBOM;16;0;12,00000;0
8721;7897518202933;ACAFRAO/CURCUMA MOIDO PC 20G SADIO;16;2.2;24,00000;52.8
8741;7897518220630;MOLHO SHOYU 750ML LETO;16;0;12,00000;0
8742;7897518220647;MOLHO DE PIMENTA AO LEITE 150ML LETO;16;0;12,00000;0
8836;7897518203923;CATCHUP TRADICIONAL 800G FRINEX;16;0;12,00000;0
8837;7897518221088;VINAGRE DE ALCOOL 750ML FRINEX;16;0;12,00000;0
8932;7897518221743;MOLHO SHOYU 500ML DUBOM;16;0;12,00000;0
8933;7897518221750;MOLHO INGLES 500ML DUBOM;16;0;12,00000;0
8934;7897518221767;MOLHO DE ALHO 500ML DUBOM;16;0;12,00000;0
8968;7897518224904;VINAGRE DE ALCOOL 150ML SADIO;16;1.49;12,00000;17.88
8974;7897518200250;MOSTARDA AMARELA 800G SADIO;16;7.32;12,00000;87.84
9025;7897518200649;CATCHUP TRADICIONAL 800G LETO;16;4.76;12,00000;57.12
9073;7897518200694;CATCHUP TRADICIONAL 3,2KG LETO;16;17.02;4,00000;68.08
9074;7897518200700;MOSTARDA AMARELA 3,3KG SADIO;16;25.83;4,00000;103.32
9095;7897518200717;CATCHUP TRADICIONAL 3,2KG FRINEX;16;0;4,00000;0
9109;7897518200724;CREME DE ALHO SABOR QUEIJO 150G SADIO;16;0;12,00000;0
9162;7897518200816;CREME DE ALHO SABOR QUEIJO 500G SADIO;16;0;12,00000;0
9397;7897518200410;CREME DE ALHO SABOR QUEIJO 150G DUBOM;16;0;12,00000;0
9529;7897518200939;CATCHUP SACHE 150/6G LETO;16;8.93;18,00000;160.74
9649;7897518201677;TEMPERO GOURMET LIGHT 500G MR MAKER;16;4.64;12,00000;55.68
9650;7897518201653;TEMPERO GOURMET FRANGO 500G MR MAKER;16;4.64;12,00000;55.68
9651;7897518201639;TEMPERO GOURMET ERVAS FINAS 500G MR MAKER;16;4.64;12,00000;55.68
9653;7897518201660;TEMPERO GOURMET CHIMICHURRI 500G MR MAKER;16;4.64;12,00000;55.68
9654;7897518201646;TEMPERO GOURMET CARNES 500G MR MAKER;16;4.64;12,00000;55.68
9655;7897518201684;TEMPERO GOURMET ALHO E CEBOLA 500G MR MAKER;16;4.64;12,00000;55.68
9656;9656;ADOCANTE PO SUCRALOSE 400/0,5G SADIO;16;41.67;1,00000;41.67
9657;9657;ADOCANTE PO STEVIA 400/0,5G SADIO;16;47.63;1,00000;47.63
9659;9659;ACUCAR CRISTAL PREMIUM 400/5G SADIO;16;23.81;1,00000;23.81
9661;7897518201615;TEMPERO PO NORDESTE 50G SADIO;16;2.89;48,00000;138.72
9662;7897518201561;TEMPERO PO ARROZ 50G SADIO;16;2.89;48,00000;138.72
9663;7897518201554;TEMPERO PO CARNES 50G SADIO;16;2.89;48,00000;138.72
9664;7897518201585;TEMPERO PO FEIJAO 50G SADIO;16;2.89;48,00000;138.72
9665;7897518201578;TEMPERO PO FRANGO 50G SADIO;16;2.89;48,00000;138.72
9666;7897518201592;TEMPERO PO LEGUMES 50G SADIO;16;2.89;48,00000;138.72
9667;7897518201608;TEMPERO PO MASSAS 50G SADIO;16;2.89;48,00000;138.72
9682;7897518201622;TEMPERO PO ALHO 50G SADIO;16;2.89;48,00000;138.72
9684;7897518201813;SAL DE PARRILLA TRADICIONAL 450G MR MAKER;16;13.39;6,00000;80.34
9685;7897518201820;SAL DE PARRILLA DEFUMADO 450G MR MAKER;16;13.39;6,00000;80.34
9686;7897518201837;SAL DE PARRILLA ALHO 450G MR MAKER;16;13.39;6,00000;80.34
9687;7897518201844;SAL DE PARRILLA PIMENTA 450G MR MAKER;16;13.39;6,00000;80.34
9688;7897518201851;SAL DE PARRILLA CHIMICHURRI 450G MR MAKER;16;13.39;6,00000;80.34
9689;7897518201868;SAL DE PARRILLA ERVAS FINAS 450G MR MAKER;16;13.39;6,00000;80.34
9693;7897518201752;CHIMICHURRI POTE 90G MR MAKER;16;13.39;6,00000;80.34
9694;7897518201769;DRY RUB POTE 160G MR MAKER;16;13.39;6,00000;80.34
9695;7897518201776;FLOR DE SAL POTE 180G MR MAKER;16;24.11;6,00000;144.66
9696;7897518201783;LEMON PEPPER POTE 130G MR MAKER;16;13.39;6,00000;80.34
9697;7897518201790;PAPRICA DEFUMADA POTE 110G MR MAKER;16;13.39;6,00000;80.34
9698;7897518201806;CEBOLA, ALHO E SALSA POTE 90G MR MAKER;16;13.39;6,00000;80.34
9699;7897518201875;OREGANO POTE 50G MR MAKER;16;13.39;6,00000;80.34
9701;7897518201899;ALHO FRITO POTE 110G MR MAKER;16;13.39;6,00000;80.34
9702;7897518201882;ACAFRAO/CURCUMA MOIDO POTE 110G MR MAKER;16;13.39;6,00000;80.34
9703;7897518201905;PIMENTA PRETA MOIDA POTE 110G MR MAKER;16;13.39;6,00000;80.34
9704;7897518201912;TEMPERO DO CHEF POTE 130G MR MAKER;16;13.39;6,00000;80.34
9705;7897518201929;TEMPERO COMPLETO POTE 90G MR MAKER;16;13.39;6,00000;80.34
9870;7897518201936;BLACK RUB POTE 160G MR MAKER;16;13.39;6,00000;80.34
9872;7897518201943;CHIA PREMIUM POTE 180G MR MAKER;16;13.39;6,00000;80.34
9880;7898954789477;DETERGENTE LIMAO 500ML TANLUX;16;1.48;20,00000;29.6
9881;7898954789460;DETERGENTE MACA 500ML TANLUX;16;1.48;20,00000;29.6
9882;7898954789484;DETERGENTE NEUTRO 500ML TANLUX;16;1.48;20,00000;29.6
9883;7898954789538;DETERGENTE COCO 500ML TANLUX;16;1.48;20,00000;29.6
9884;7898954789453;LIMPA ALUMINIO 500ML TANLUX;16;2.13;20,00000;42.6
9885;7898671000503;DETERGENTE LIMAO 5L TANLUX;16;14.89;2,00000;29.78
9886;7898671000510;DETERGENTE MACA 5L TANLUX;16;14.89;2,00000;29.78
9887;7898671000527;DETERGENTE NEUTRO 5L TANLUX;16;14.89;2,00000;29.78
9888;7898671000497;DETERGENTE LIMAO 2L TANLUX;16;5.96;6,00000;35.76
9889;7898954789880;DETERGENTE MACA 2L TANLUX;16;5.96;6,00000;35.76
9890;7898954789897;DETERGENTE NEUTRO 2L TANLUX;16;5.96;6,00000;35.76
9891;7898954789491;AMACIANTE CONFORT 2L TANLUX;16;6.23;6,00000;37.38
9892;7898954789507;AMACIANTE FLORAL 2L TANLUX;16;6.23;6,00000;37.38
9893;7898954789613;AMACIANTE SUAVE 2L TANLUX;16;6.23;6,00000;37.38
9894;7898954789620;AMACIANTE HARMONIA 2L TANLUX;16;6.23;6,00000;37.38
9895;7898671000428;AMACIANTE CONFORT 5L TANLUX;16;14.66;2,00000;29.32
9896;7898671000435;AMACIANTE FLORAL 5L TANLUX;16;14.66;2,00000;29.32
9897;7898954789583;DESINFETANTE LAVANDA 2L TANLUX;16;5.51;6,00000;33.06
9898;7898954789576;DESINFETANTE PINHO 2L TANLUX;16;5.51;6,00000;33.06
9899;7898954789590;DESINFETANTE FLORAL 2L TANLUX;16;5.51;6,00000;33.06
9900;7898954789606;DESINFETANTE EUCALIPTO 2L TANLUX;16;5.51;6,00000;33.06
9901;7897518225321;LAVA ROUPA COMFORT BLUE 2L TANLUX;16;11.37;6,00000;68.22
9902;7897518225314;LAVA ROUPA COMFORT BLUE 3L TANLUX;16;17.06;4,00000;68.24
9903;7898671000541;LAVA ROUPA COMFORT BLUE 5L TANLUX;16;28.43;2,00000;56.86
9904;7898671000022;SABONETE CREMOSO FLORES TANSOAP 5L TANLUX;16;30.63;4,00000;122.52
9905;7898671000206;SABONETE LIQUIDO ERVA DOCE TANSOAP 5L TANLUX;16;27.15;4,00000;108.6
9906;7898954789958;DETERGENTE CLORADO TANCLORO SPUMA CONCENTRADO 5L TANLUX;16;56.74;4,00000;226.96
2;7897518200014;TEMPERO COMPLETO ESPECIAL 500G SADIO;15;3.61;12,00000;43.32
4;7897518200045;TEMPERO SEM PIMENTA 500G SADIO;15;3.61;12,00000;43.32
6;7897518200656;TEMPERO CASEIRO TRADICIONAL ESCURO VERDE 500G SADIO;15;3.16;12,00000;37.92
8;7897518200052;VINAGRE DE ALCOOL 500ML SADIO;15;1.48;12,00000;17.76
10;7897518200090;MOLHO DE ALHO 500ML SADIO;15;4.8;12,00000;57.6
12;7897518225130;MOLHO DE ALHO 150ML SADIO;15;1.79;12,00000;21.48
14;7897518200038;MOLHO INGLES 150ML SADIO;15;1.79;12,00000;21.48
16;7897518225123;MOLHO DE PIMENTA 150ML SADIO;15;1.79;12,00000;21.48
18;7897518200076;TEMPERO COMPLETO 500G LETO;15;3.16;12,00000;37.92
26;7899518200148;MOLHO DE PIMENTA EXTRA FORTE 60ML PINGO;15;3.82;12,00000;45.84
29;7897518225086;PURO ALHO 200G SADIO;15;4.3;12,00000;51.6
30;7897518225093;PURO ALHO 440G SADIO;15;7.77;12,00000;93.24
31;7897518225109;PURO ALHO 1KG SADIO;15;17.92;6,00000;107.52
36;7899518200100;TEMPERO COMPLETO 500G REDE MAIS;15;0;12,00000;0
39;7899518200209;TEMPERO COMPLETO 500G SUPERCOP;15;0;12,00000;0
40;7897518225215;TEMPERO COMPLETO 500G BOM DA REDE;15;0;12,00000;0
54;7897518200083;MOLHO SHOYU 150ML SADIO;15;1.79;12,00000;21.48
66;7897518200113;VINAGRE DE ALCOOL 500ML BOM DA REDE;15;0;12,00000;0
67;7897518200120;MOLHO DE ALHO 500ML BOM DA REDE;15;0;12,00000;0
76;7897518200755;EXTRATO DE ALHO 500ML SADIO;15;4.8;12,00000;57.6
80;7897518200342;MOLHO INGLES 500ML SADIO;15;4.8;12,00000;57.6
81;7897518200335;MOLHO DE PIMENTA 500ML SADIO;15;4.8;12,00000;57.6
82;7897518200359;MOLHO SHOYU 500ML SADIO;15;4.8;12,00000;57.6
213;7897518200809;TEMPERO PARA CARNES 500G SADIO;15;3.77;12,00000;45.24
319;7897518207259;MOLHO DE ALHO 150ML MESTRE CUCA;15;0;12,00000;0
320;7897518201110;MOLHO DE ALHO 500ML MESTRE CUCA;15;0;12,00000;0
321;7897518201080;MOLHO DE PIMENTA AO LEITE 150ML MESTRE CUCA;15;0;12,00000;0
322;7897518207266;MOLHO DE PIMENTA 150ML MESTRE CUCA;15;0;12,00000;0
391;7897518201356;PURO ALHO 2KG SADIO;15;31.1;6,00000;186.6
450;7897518201530;TEMPERO PARA FRANGO 500G SADIO;15;3.77;12,00000;45.24
460;7897518207235;MOLHO INGLES 150ML MESTRE CUCA;15;0;12,00000;0
461;7897518201097;MOLHO INGLES 500ML MESTRE CUCA;15;0;12,00000;0
462;7897518207242;MOLHO SHOYU 150ML MESTRE CUCA;15;0;12,00000;0
463;7897518201103;MOLHO SHOYU 500ML MESTRE CUCA;15;0;12,00000;0
464;7897518207198;VINAGRE DE ALCOOL ALHO 500ML MESTRE CUCA;15;0;12,00000;0
465;7897518207211;VINAGRE DE ALCOOL LIMAO 500ML MESTRE CUCA;15;0;12,00000;0
467;7897518207204;VINAGRE DE ALCOOL MACA 500ML MESTRE CUCA;15;0;12,00000;0
926;7897518225222;MOLHO DE PIMENTA AMARELA 150ML SADIO;15;1.79;12,00000;21.48
